Week,Attendance,Decisions,Predictions,Reward
0,74,1,-0.5091007,-2
1,80,1,0.39938396,-2
2,58,1,0.6359,-2
3,74,1,-0.063175894,-2
4,67,1,-0.042291038,-2
5,58,1,0.68905634,-2
6,52,0,-0.20390043,-2
7,70,0,0.23626952,-2
8,77,1,-0.22779608,-2
9,71,1,0.078988336,-2
10,64,1,0.5205384,-2
11,76,0,0.4800103,-2
12,72,1,0.19148336,-2
13,71,1,-0.23106517,-2
14,70,1,-0.19143051,-2
15,63,0,-0.90491474,-2
16,52,1,1.0854002,-2
17,63,1,0.12462441,-2
18,57,1,-0.24520953,-2
19,80,1,-0.94897693,-2
20,62,1,1.2428411,-2
21,69,1,-1.1019979,-2
22,61,0,0.32476893,-2
23,67,1,0.10718318,-2
24,52,1,0.9092975,-2
25,67,1,0.4951476,-2
26,76,1,0.25862265,-2
27,79,0,0.396314,-2
28,55,1,0.4489798,-2
29,70,1,1.3907216,-2
30,55,1,-0.428826,-2
31,60,1,-0.062245235,-2
32,77,0,-0.6815067,-2
33,76,1,0.850186,-2
34,65,1,-0.40779233,-2
35,59,1,0.5935561,-2
36,65,0,1.7120833,-2
37,51,1,-0.71476203,-2
38,55,1,0.5857478,-2
39,58,1,-0.6253195,-2
40,64,1,0.33429205,-2
41,72,1,-0.19269244,-2
42,51,1,0.051145,-2
43,50,1,0.16516824,-2
44,72,1,0.0036836492,-2
45,71,1,0.20365846,-2
46,59,1,-1.1117146,-2
47,64,1,0.016783476,-2
48,72,1,0.24600992,-2
49,76,1,0.31285948,-2
50,72,1,1.1060811,-2
51,59,0,-0.20169085,-2
52,69,1,0.69300175,-2
53,72,1,-0.20773903,-2
54,78,1,-0.35814375,-2
55,67,1,0.52004504,-2
56,79,1,0.65528136,-2
57,67,1,0.27303404,-2
58,67,1,0.38943148,-2
59,80,1,-0.8305347,-2
60,70,1,-0.1017979,-2
61,54,1,-0.057217438,-2
62,51,1,0.20064977,-2
63,72,1,0.8373861,-2
64,57,1,-1.0241281,-2
65,56,1,-0.26435396,-2
66,53,1,1.4472969,-2
67,60,1,0.20892653,-2
68,72,1,-1.6411062,-2
69,79,1,0.7423525,-2
70,65,1,-1.9431236,-2
71,64,1,0.28424054,-2
72,66,1,-0.7984182,-2
73,76,1,-0.9237331,-2
74,73,1,-0.6064013,-2
75,67,1,0.82147306,-2
76,73,1,-0.121191815,-2
77,67,1,0.39048278,-2
78,53,1,-0.486421,-2
79,73,1,1.0553874,-2
80,54,1,0.58082855,-2
81,50,1,1.1968814,-2
82,61,1,0.38966143,-2
83,77,1,0.37908173,-2
84,77,1,0.1555438,-2
85,74,1,-0.18955642,-2
86,66,1,0.43042174,-2
87,66,1,0.33865085,-2
88,72,1,0.65472853,-2
89,71,1,0.7921199,-2
90,67,1,-0.5129617,-2
91,55,1,-0.12291341,-2
92,56,1,-1.1551232,-2
93,66,1,-0.2424591,-2
94,56,1,-0.35250995,-2
95,51,1,1.3506224,-2
96,54,0,0.029398656,-2
97,62,1,-0.09214123,-2
98,55,0,-0.046783727,-2
99,73,1,0.72559196,-2
